name	nbRequest	nbRequestOK	nbRequestKO	minResponseTime	minResponseTimeOK	minResponseTimeKO	maxResponseTime	maxResponseTimeOK	maxResponseTimeKO	meanResponseTime	meanResponseTimeOK	meanResponseTimeKO	deviation	deviationOK	deviationKO	percentile1	percentile1OK	percentile1KO	percentile2	percentile2OK	percentile2KO	group1Name	group1Count	group1Percentage	group2Name	group2Count	group2Percentage	group3Name	group3Count	group3Percentage	group4Name	group4Count	group4Percentage	meanNumberOfRequestsPerSecond	meanNumberOfRequestsPerSecondOK	meanNumberOfRequestsPerSecondKO
Global Information	344128	339187	4941	0	10	0	67200	60000	67200	2273	2157	10204	2422	2821	0	6340	6220	60000	22080	18110	60000	t < 800 ms	139453	40	800 ms < t < 1200 ms	39185	11	t > 1200 ms	160549	46	failed	4941	1	24	24	0
Init	1005	970	35	61480	61480	62960	142400	136650	142400	81184	80865	90036	0	0	0	112200	111870	137590	130250	124890	142400	t < 800 ms	0	0	800 ms < t < 1200 ms	0	0	t > 1200 ms	970	96	failed	35	3	0	0	0
Init / request_1	1005	970	35	0	320	0	17960	17960	17780	2347	2343	2453	2968	2819	5728	9480	9160	16670	15210	14000	17780	t < 800 ms	311	30	800 ms < t < 1200 ms	94	9	t > 1200 ms	565	56	failed	35	3	0	0	0
Init / request_2	1005	1002	3	310	310	13230	20600	20600	16230	1684	1645	14670	2025	1898	1228	4730	4610	16230	10520	8120	16230	t < 800 ms	475	47	800 ms < t < 1200 ms	87	8	t > 1200 ms	440	43	failed	3	0	0	0	0
Init / request_2 Redirect 1	1002	1002	0	460	460	-1	8650	8650	-1	1595	1595	-1	1445	1445	-1	4760	4760	-1	6480	6480	-1	t < 800 ms	431	43	800 ms < t < 1200 ms	140	13	t > 1200 ms	431	43	failed	0	0	0	0	-1
Init / request_3	1005	1004	1	460	460	14410	19930	19930	14410	1743	1730	14410	1717	1671	0	5470	5470	14410	7400	7230	14410	t < 800 ms	397	39	800 ms < t < 1200 ms	148	14	t > 1200 ms	459	45	failed	1	0	0	0	0
Init / request_4	1005	1005	0	500	500	-1	10060	10060	-1	2012	2012	-1	1651	1651	-1	5420	5420	-1	7390	7390	-1	t < 800 ms	277	27	800 ms < t < 1200 ms	172	17	t > 1200 ms	556	55	failed	0	0	0	0	-1
Init / request_5	1005	1005	0	310	310	-1	8680	8680	-1	1490	1490	-1	1453	1453	-1	4440	4440	-1	6420	6420	-1	t < 800 ms	465	46	800 ms < t < 1200 ms	123	12	t > 1200 ms	417	41	failed	0	0	0	0	-1
Init / request_5 Redirect 1	1005	1005	0	460	460	-1	8410	8410	-1	1626	1626	-1	1446	1446	-1	4630	4630	-1	6350	6350	-1	t < 800 ms	429	42	800 ms < t < 1200 ms	127	12	t > 1200 ms	449	44	failed	0	0	0	0	-1
Init / request_6	1005	1005	0	650	650	-1	10630	10630	-1	2220	2220	-1	1763	1763	-1	5840	5840	-1	7410	7410	-1	t < 800 ms	205	20	800 ms < t < 1200 ms	212	21	t > 1200 ms	588	58	failed	0	0	0	0	-1
