name	nbRequest	nbRequestOK	nbRequestKO	minResponseTime	minResponseTimeOK	minResponseTimeKO	maxResponseTime	maxResponseTimeOK	maxResponseTimeKO	meanResponseTime	meanResponseTimeOK	meanResponseTimeKO	deviation	deviationOK	deviationKO	percentile1	percentile1OK	percentile1KO	percentile2	percentile2OK	percentile2KO	group1Name	group1Count	group1Percentage	group2Name	group2Count	group2Percentage	group3Name	group3Count	group3Percentage	group4Name	group4Count	group4Percentage	meanNumberOfRequestsPerSecond	meanNumberOfRequestsPerSecondOK	meanNumberOfRequestsPerSecondKO
Global Information	18810	18760	50	150	150	60000	60010	59910	60010	18778	18668	60000	6862	7357	0	37770	37400	60000	50810	49090	60010	t < 800 ms	481	2	800 ms < t < 1200 ms	65	0	t > 1200 ms	18214	96	failed	50	0	3	3	0
Login	90	90	0	7550	7550	-1	15450	15450	-1	9861	9861	-1	1612	1612	-1	13050	13050	-1	15350	15350	-1	t < 800 ms	0	0	800 ms < t < 1200 ms	0	0	t > 1200 ms	90	100	failed	0	0	0	0	-1
Login / request_1	90	90	0	1320	1320	-1	6180	6180	-1	1848	1848	-1	657	657	-1	2800	2800	-1	4050	4050	-1	t < 800 ms	0	0	800 ms < t < 1200 ms	0	0	t > 1200 ms	90	100	failed	0	0	0	0	-1
Login / request_2	90	90	0	160	160	-1	5020	5020	-1	707	707	-1	683	683	-1	2000	2000	-1	2420	2420	-1	t < 800 ms	62	68	800 ms < t < 1200 ms	15	16	t > 1200 ms	13	14	failed	0	0	0	0	-1
Login / request_2 Redirect 1	90	90	0	390	390	-1	5410	5410	-1	1524	1524	-1	1088	1088	-1	3390	3390	-1	4480	4480	-1	t < 800 ms	31	34	800 ms < t < 1200 ms	13	14	t > 1200 ms	46	51	failed	0	0	0	0	-1
Login / request_3	90	90	0	450	450	-1	1530	1530	-1	612	612	-1	235	235	-1	1280	1280	-1	1390	1390	-1	t < 800 ms	77	85	800 ms < t < 1200 ms	6	6	t > 1200 ms	7	7	failed	0	0	0	0	-1
click search	90	90	0	4550	4550	-1	16200	16200	-1	7654	7654	-1	2840	2840	-1	13400	13400	-1	14550	14550	-1	t < 800 ms	0	0	800 ms < t < 1200 ms	0	0	t > 1200 ms	90	100	failed	0	0	0	0	-1
click search / request_23	90	90	0	570	570	-1	12190	12190	-1	3654	3654	-1	2838	2838	-1	9410	9410	-1	10520	10520	-1	t < 800 ms	5	5	800 ms < t < 1200 ms	17	18	t > 1200 ms	68	75	failed	0	0	0	0	-1
do person search	90	51	39	2903550	2964850	2903550	4603400	4603400	4507650	4049231	4103564	3978179	0	0	0	4503600	4503600	4488800	4583100	4583100	4507650	t < 800 ms	0	0	800 ms < t < 1200 ms	0	0	t > 1200 ms	51	56	failed	39	43	0	0	0
do person search / request_27	18000	17950	50	2390	2390	60000	60010	59910	60010	19554	19441	60000	5903	6508	0	38160	37730	60000	51080	49510	60010	t < 800 ms	0	0	800 ms < t < 1200 ms	0	0	t > 1200 ms	17950	99	failed	50	0	3	3	0
logout	90	90	0	3920	3920	-1	35170	35170	-1	8336	8336	-1	7290	7290	-1	25540	25540	-1	31890	31890	-1	t < 800 ms	0	0	800 ms < t < 1200 ms	0	0	t > 1200 ms	90	100	failed	0	0	0	0	-1
logout / request_30	90	90	0	150	150	-1	30770	30770	-1	3767	3767	-1	7256	7256	-1	20010	20010	-1	27350	27350	-1	t < 800 ms	67	74	800 ms < t < 1200 ms	2	2	t > 1200 ms	21	23	failed	0	0	0	0	-1
logout / request_30 Redirect 1	90	90	0	150	150	-1	910	910	-1	282	282	-1	157	157	-1	620	620	-1	730	730	-1	t < 800 ms	89	98	800 ms < t < 1200 ms	1	1	t > 1200 ms	0	0	failed	0	0	0	0	-1
logout / request_30 Redirect 2	90	90	0	310	310	-1	1870	1870	-1	619	619	-1	291	291	-1	1230	1230	-1	1850	1850	-1	t < 800 ms	78	86	800 ms < t < 1200 ms	6	6	t > 1200 ms	6	6	failed	0	0	0	0	-1
logout / request_31	90	90	0	310	310	-1	3470	3470	-1	666	666	-1	496	496	-1	1610	1610	-1	2060	2060	-1	t < 800 ms	72	80	800 ms < t < 1200 ms	5	5	t > 1200 ms	13	14	failed	0	0	0	0	-1
