name	nbRequest	nbRequestOK	nbRequestKO	minResponseTime	minResponseTimeOK	minResponseTimeKO	maxResponseTime	maxResponseTimeOK	maxResponseTimeKO	meanResponseTime	meanResponseTimeOK	meanResponseTimeKO	deviation	deviationOK	deviationKO	percentile1	percentile1OK	percentile1KO	percentile2	percentile2OK	percentile2KO	group1Name	group1Count	group1Percentage	group2Name	group2Count	group2Percentage	group3Name	group3Count	group3Percentage	group4Name	group4Count	group4Percentage	meanNumberOfRequestsPerSecond	meanNumberOfRequestsPerSecondOK	meanNumberOfRequestsPerSecondKO
Global Information	68330	66712	1618	0	0	10	60000	18690	60000	611	612	586	1459	1484	0	3240	3280	1600	7700	7820	4140	t < 800 ms	55783	81	800 ms < t < 1200 ms	2933	4	t > 1200 ms	7996	11	failed	1618	2	73	71	2
loginPage	1005	201	804	1100	1150	1100	17550	17550	16320	2852	3348	2728	2117	3244	1701	6700	10550	5490	11750	15800	9290	t < 800 ms	0	0	800 ms < t < 1200 ms	53	5	t > 1200 ms	148	14	failed	804	80	1	0	1
loginPage / request_1	1005	201	804	0	0	20	6760	6110	6760	559	538	564	688	942	609	1800	2110	1670	2910	5360	2440	t < 800 ms	156	15	800 ms < t < 1200 ms	17	1	t > 1200 ms	28	2	failed	804	80	1	0	1
loginPage / request_1 Redirect 1	201	201	0	10	10	-1	5400	5400	-1	384	384	-1	780	780	-1	1790	1790	-1	4400	4400	-1	t < 800 ms	175	87	800 ms < t < 1200 ms	12	5	t > 1200 ms	14	6	failed	0	0	0	0	-1
loginPage / request_2	769	769	0	0	0	-1	6560	6560	-1	387	387	-1	561	561	-1	1410	1410	-1	1940	1940	-1	t < 800 ms	662	86	800 ms < t < 1200 ms	59	7	t > 1200 ms	48	6	failed	0	0	1	1	-1
loginPage / request_3	810	810	0	0	0	-1	6740	6740	-1	324	324	-1	508	508	-1	1270	1270	-1	2080	2080	-1	t < 800 ms	724	89	800 ms < t < 1200 ms	44	5	t > 1200 ms	42	5	failed	0	0	1	1	-1
loginPage / request_4	1005	1005	0	0	0	-1	1710	1710	-1	85	85	-1	139	139	-1	330	330	-1	610	610	-1	t < 800 ms	998	99	800 ms < t < 1200 ms	5	0	t > 1200 ms	2	0	failed	0	0	1	1	-1
loginPage / request_5	789	789	0	10	10	-1	7020	7020	-1	492	492	-1	787	787	-1	1960	1960	-1	3710	3710	-1	t < 800 ms	641	81	800 ms < t < 1200 ms	61	7	t > 1200 ms	87	11	failed	0	0	1	1	-1
loginPage / request_6	1005	1005	0	0	0	-1	2510	2510	-1	86	86	-1	201	201	-1	370	370	-1	930	930	-1	t < 800 ms	994	98	800 ms < t < 1200 ms	2	0	t > 1200 ms	9	0	failed	0	0	1	1	-1
login	1005	201	804	4900	5150	4900	28850	28850	27850	7717	8497	7522	3251	4316	2892	12700	17850	12200	21500	28200	18600	t < 800 ms	0	0	800 ms < t < 1200 ms	0	0	t > 1200 ms	201	20	failed	804	80	1	0	1
login / request_7	1005	1003	2	120	180	120	1350	1350	170	231	232	145	90	88	25	360	360	170	370	370	170	t < 800 ms	1002	99	800 ms < t < 1200 ms	0	0	t > 1200 ms	1	0	failed	2	0	1	1	0
login / request_8	1005	201	804	10	30	10	9690	6500	9690	431	597	390	855	1007	807	1550	2900	1350	4470	4510	4390	t < 800 ms	164	16	800 ms < t < 1200 ms	15	1	t > 1200 ms	22	2	failed	804	80	1	0	1
login / request_8 Redirect 1	201	201	0	30	30	-1	5910	5910	-1	503	503	-1	909	909	-1	2120	2120	-1	4960	4960	-1	t < 800 ms	172	85	800 ms < t < 1200 ms	6	2	t > 1200 ms	23	11	failed	0	0	0	0	-1
login / request_9	1005	1005	0	0	0	-1	3510	3510	-1	244	244	-1	403	403	-1	1060	1060	-1	1870	1870	-1	t < 800 ms	940	93	800 ms < t < 1200 ms	25	2	t > 1200 ms	40	3	failed	0	0	1	1	-1
